OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-392554107195201,SC00708921DBD,Well,,14010004,,,,,39.43166667000000,-107.3311111000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393844106192601,SC00508003DDB,Well,,14010003,,,,,39.64540556000000,-106.3239694000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,8296.31,feet,.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,037,,,"Alluvium, Flood Plain",Unconfined single aquifer,,180,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393846106193601,SC00508003DCA,Well,,14010003,,,,,39.64607220000000,-106.3265528000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,8286.88,feet,.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,037,,,"Alluvium, Flood Plain",Unconfined single aquifer,,103,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394540108191201,SC00309730AC TH 75-15A (C3-97-30 ACC1),Well,,14050006,,,,,39.76108467000000,-108.3206433000000,24000,1,minutes,Interpolated from MAP.,NAD83,6813,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Mixed (confined and unconfined) multiple aquifers,,650,ft,670,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394540108191202,SC00309730ACC2 TH 75-15B,Well,,14050006,,,,,39.76108467000000,-108.3206433000000,24000,5,seconds,Interpolated from MAP.,NAD83,6805,feet,.5,feet,Level or other surveyed method.,NGVD29,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,19750101,880,ft,1040,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394847104570700,"SOUTH PLATTE R. AB SAND CREEK AT COMMERCE CITY, CO",Stream,,10190003,,,,,39.81304180000000,-104.9524794000000,24000,1,minutes,Interpolated from MAP.,NAD83,5120,feet,4,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,001,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394950108162501,SC00209734CBC  MOBIL NO. 5 C2-97-34CBCB,Well,,14050006,,,,,39.83052857000000,-108.2742529000000,,1,seconds,Interpolated from MAP.,NAD83,6509.00,feet,1.,feet,Level or other surveyed method.,NGVD29,US,08,103,Colorado Plateaus aquifers,,Green River Formation,,,1742,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395136108210000,SC00209824CBB TH 75-13A (C2-98-24 CBB2),Well,,14050006,,,,,39.86000000000000,-108.3511111000000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,6400,feet,0.2,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,,640,ft,640,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395136108210001,SC00209824CBB TH 75-13B,Well,,14050006,,,,,39.86000000000000,-108.3502778000000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,6397.7,feet,0.2,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,19760101,870,ft,1080,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395136108210004,SC00209824CBB4 TH75-13U,Well,,14050006,,,,,39.86013330000000,-108.3509556000000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,6398.99,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,103,Colorado Plateaus aquifers,,Tertiary System,Unconfined single aquifer,20100505,249.5,ft,250,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395310108050401,SC00209508CCA TH 75-9B,Well,,14050006,,,,,39.88608455000000,-108.0850796000000,24000,1,seconds,Interpolated from MAP.,NAD83,7317,feet,.5,feet,Level or other surveyed method.,NGVD29,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,19500101,1575,ft,1575,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395458108325002,SC00109931CD2 B12-31-199-B,Well,,14050006,,,,,39.91615830000000,-108.5473889000000,24000,Unknown,Unknown,Unknown.,NAD83,7469,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,,491,ft,491,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395755108211400,SC00109814ADC1 TH 75-6A,Well,,14050006,,,,,39.96444444000000,-108.3541667000000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,6438,feet,0.2,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Unconfined single aquifer,19750101,1260,ft,1260,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395755108211401,SC00109814ADC2 TH 75-6B (C1-98-14 ADC2),Well,,14050006,,,,,39.96472220000000,-108.3536111000000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,6438,feet,0.2,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,,1755,ft,1755,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400045108131401,"SB00109736ADC3 TH 75-17B, CR2, (B1-97-36 ADCC)",Well,,14050006,,,,,40.01247140000000,-108.2211964000000,24000,1,minutes,Interpolated from MAP.,NAD83,6104.6,feet,.1,feet,Level or other surveyed method.,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,,1710,ft,2400,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400045108131800,SB00109736AD Uinta well,Well,,14050006,,,,,40.01270278000000,-108.2216417000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,6104.6,feet,.1,feet,Level or other surveyed method.,NAVD88,US,08,103,Colorado Plateaus aquifers,,Tertiary System,Unconfined single aquifer,20120719,220,ft,220,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400218108170600,SB00109721CAD2 TH 75-1A (B1-97-21 CAD1),Well,,14050006,,,,,40.03830450000000,-108.2856434000000,24000,1,minutes,Interpolated from MAP.,NAD83,5138,feet,5,feet,Reported method of determination.,NAVD88,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Mixed (confined and unconfined) multiple aquifers,,1060,ft,1060,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400218108170601,SB00109721CAD TH 75-1B,Well,,14050006,,,,,40.03830450000000,-108.2856434000000,24000,1,seconds,Interpolated from MAP.,NAD83,6138,feet,.5,feet,Level or other surveyed method.,NGVD29,US,08,103,Colorado Plateaus aquifers,,Green River Formation,Confined single aquifer,19720101,1314,ft,1540,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400237104500301,SB00106619BAB NAWQA 1,Well,,10190003,,,,,40.04360556000000,-104.8235750000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4921.62,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,123,Alluvial aquifers,,"Alluvium, Flood Plain",Unconfined single aquifer,19920909,12.5,ft,12.5,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400716102435901,SB00204822CDB,Well,,10250002,,,,,40.12122220000000,-102.7331667000000,24000,.1,seconds,Reported.,NAD83,4143,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,125,High Plains aquifer,,Ogallala Formation,Unconfined single aquifer,19720831,355,ft,380,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-400735102571901,SB00205022CAA,Well,,10250002,,,,,40.12638889000000,-102.9552778000000,24000,.1,seconds,Reported.,NAD83,4378,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,121,High Plains aquifer,,Ogallala Formation,Unconfined single aquifer,19780223,296.5,ft,320,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401506108595401,SB00310307ABB1,Well,,14050007,,,,,40.25163360000000,-108.9990054000000,,1,seconds,Interpolated from MAP.,NAD83,6045.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,081,Colorado Plateaus aquifers,,Entrada Sandstone,,19590101,745,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401544103443101,SB00305703BBA NAWQA 5,Well,,10190012,,,,,40.26215830000000,-103.7422111000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4279.76,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,087,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,47,ft,47,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-402104104404501,SB00506532DDB NAWQA 11,Well,,10190003,,,,,40.34872778000000,-104.6777972000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4670.33,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,123,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,19910807,19.0,ft,19,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-402150103322801,SB00505528CCC NAWQA 12,Well,,10190012,,,,,40.36393610000000,-103.5407389000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4161.55,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,087,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,27,ft,27,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-402213104015501,SB00505930CBA NAWQA 13,Well,,10190003,,,,,40.37024444000000,-104.0317972000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4378.59,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,087,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,12,ft,12,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-402533105124300,"BIG THOMPSON R BLW SULZER GULCH NR LOVELAND, CO",Stream,,10190006,309,sq mi,,,40.42569444000000,-105.2122889000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5238,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-403701103125500,SB00805232CAB,Well,,10190012,,,,,40.61696389000000,-103.2153250000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3943,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,075,Alluvial aquifers,,Quaternary System,Unconfined single aquifer,19850401,82,ft,82,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-404552106550901,NB00908504DD,Well,,14050001,,,,,40.76444444000000,-106.9191667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,8079,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,107,Colorado Plateaus aquifers,,Morrison Formation,Unconfined single aquifer,20070816,240,ft,240,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-405039102485601,SB01004915BCC NAWQA 21,Well,,10190012,,,,,40.84411667000000,-102.8158806000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3716.85,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,075,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,15,ft,15,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-405159102444201,SB01004805CCC NAWQA 22,Well,,10190012,,,,,40.86635556000000,-102.7456944000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3684.51,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,08,075,Alluvial aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,15,ft,15,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-410251102024201,SB01204232CDD NAWQA 25,Well,,10190018,,,,,41.04755556000000,-102.0448611000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3380.71,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,101,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,22,ft,22,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-410344101560901,SB01304129CCD NAWQA 26,Well,,10190018,,,,,41.06211667000000,-101.9359083000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,101,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,33,ft,33,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-410959100582401,SB01403222DBC NAWQA 30,Well,,10180014,,,,,41.16624720000000,-100.9735056000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2885,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,111,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,23,ft,23,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-412350072513001,CT-NHV  204,Well,,01100004,,,,,41.39796110000000,-72.8417278000000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,5,feet,Interpolated from topographic map.,NGVD29,US,09,009,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,19950605,24,ft,24,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-412746073142401,CT- SB  120,Well,,01100005,,,,,41.46288889000000,-73.2399167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,198,feet,30,feet,Global Positioning System.,NAVD88,US,09,009,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",Unconfined single aquifer,19580101,54,ft,54,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-413739072511101,CT-  S  405,Well,,01100004,,,,,41.62783330000000,-72.8534444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,200,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20030729,23.5,ft,23.5,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-413924072441601,CT-  N  203,Well,,01080205,,,,,41.65655556000000,-72.7377777800000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,100,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20020820,32,ft,32,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-413925072544401,CT- BS  277,Well,,01100004,,,,,41.65691667000000,-72.9122777800000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,245,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",Unconfined single aquifer,20030731,32,ft,32,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-413945071571001,CT- CY  146,Well,,01100001,,,,,41.66241667000000,-71.9527777800000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,217,feet,20,feet,Global Positioning System.,NAVD88,US,09,015,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,19920417,52,ft,52,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-414245072333901,CT- GL  240,Well,,01080205,,,,,41.71564167000000,-72.5561694000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,190,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,19931201,39,ft,39,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-414535072324701,CT-  M  195,Well,,01080205,,,,,41.75961110000000,-72.5463056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,165,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20020828,25.1,ft,25.1,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-414555072333601,CT-  M  193,Well,,01080205,,,,,41.76522220000000,-72.5599167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,125,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20020827,14.30,ft,14.3,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-414826072290901,CT-  M  192,Well,,01080205,,,,,41.80747220000000,-72.4860000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,340,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20020827,11,ft,11,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-415446072364501,CT- EW  141,Well,,01080205,,,,,41.91325000000000,-72.6116944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,68,feet,10,feet,Interpolated from topographic map.,NGVD29,US,09,003,Sand and gravel aquifers (glaciated regions),,"Drift, Stratified",,20020903,11.40,ft,11.40,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-420751073215101,MA-SJW   81,Well,,01100005,,,,,42.13075000000000,-73.3641944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,670,feet,10,feet,Interpolated from topographic map.,NGVD29,US,25,003,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19920701,137,ft,137,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-421026072420801,MA-WVW  173,Well,,01080206,,,,,42.17397220000000,-72.7021944000000,25000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,262,feet,10,feet,Interpolated from topographic map.,NGVD29,US,25,013,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,,141,ft,141,ft,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-430350072274501,VT- WS   01,Well,,01080107,,,,,43.06397220000000,-72.4626388900000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,50,025,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19890420,74,ft,74,ft,NWIS
USGS-FL,USGS Florida Water Science Center,FL051-272811080204301,Ft Pierce SA Well 15 AAH7970,Well,,03090206,,,,,27.46833333000000,-80.3458888900000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,19,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,111,,,,,,97,ft,105,ft,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-255843081285201,FL5110230 Port of the Is SA Well 3 AAO4486,Well,,03090204,,,,,25.97845000000000,-81.4885111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,021,Surficial aquifer system,,,,,21,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-261152081472401,FL5110198 Naples SA Well CR311 AAH0911,Well,,03090204,,,,,26.19753333000000,-81.7898167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,021,Surficial aquifer system,,,,,87,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-261417081324201,FL5110198 Naples SA Well GG424 AAH9012,Well,,03090204,,,,,26.23800833000000,-81.5451083000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,15,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,021,Surficial aquifer system,,,,,105,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-262548080125701,FL4504285 Sun Meadows SA Well 1 AAH0589,Well,,03090206,,,,,26.42997220000000,-80.2158056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,85,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-262649080053901,FL4500351 Delray Bch SA Well 27 AAH8957,Well,,03090206,,,,,26.44691667000000,-80.0961388900000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,130,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-263050080034601,FL4500145 Boynton Bch SA Well 1E AAH2200,Well,,03090206,,,,,26.51394444000000,-80.0625278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,54,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-263452080032001,FL4500784 Lantana SA Well 3 AAH1125,Well,,03090206,,,,,26.58130556000000,-80.0553611000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,88,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-263952080135501,FL4500014 Wellington SA Well RO1 AAH8882,Well,,03090206,,,,,26.66486110000000,-80.2316111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,15,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,120,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-264614080062901,FL4501229 Riviera Bch SA Well 803 AAH0566,Well,,03090206,,,,,26.77041667000000,-80.1080833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,155,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-264822080051501,FL4501124 Seacoast SA Well 24 AAH0514,Well,,03090206,,,,,26.80594444000000,-80.0872778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,Surficial aquifer system,,,,,155,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-265316082143001,FL6080104 Gasparilla Is SA Well 5G AAI0087,Well,,03100201,,,,,26.88756389000000,-82.2414361000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,015,Surficial aquifer system,,,,,32,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USEPA-265338082142801,FL6080104 Gasparilla Is SA Well 4A AAH9917,Well,,03100201,,,,,26.89378333000000,-82.2409111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,015,Surficial aquifer system,,,,,35,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02281200,HILLSBORO CANAL AT S-6 NEAR SHAWANO,Stream: Canal,,03090202,,,,,26.47285000000000,-80.4468833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,099,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252346080350701,EVERGLADES NP WELL 1 AAH9289,Well,,03090202,,,,,25.39605556000000,-80.5851944000000,,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,086,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252718080264901,G  -3900,Well,,03090206,,,,,25.45419167000000,-80.4468694000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5.3,feet,.5,feet,Level or other surveyed method.,NGVD29,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,Unconfined single aquifer,,22,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252824080274501,S  -3061,Well,,03090206,,,,,25.47372210000000,-80.4636676900000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,086,,,,,19770503,62,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252842080290504,S  -3059,Well,,03090206,,,,,25.47872207000000,-80.4845015000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,086,,,,,,61,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252940080261205,S  -3071,Well,,03090206,,,,,25.49544444000000,-80.4369444000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,Unconfined single aquifer,,40,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252950080251101,ELEVATED TANK,Well,,03090206,,,,,25.49738889000000,-80.4199722000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,Unconfined single aquifer,,,,,,NWIS
